"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™  He8 (512e)", "0F23269", "379.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F23001", "329.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST6000NM0024", "329.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD6001FSYZ", "WD6001FSYZ", "528.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD6001F9YZ", "WD6001F9YZ", "469.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K900 (512n)", "0B26013", "229.00", "600GB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Toshiba AL13SE Series", "AL13SEB600", "249.00", "600GB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K1800 (512n)", "0B28808", "249.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Seagate Enterprise Performance 10K HDD (512e)", "ST600MM0018", "189.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 15000RPM - 2.5in - Hitachi Ultrastar™ C15K600 (512n)", "0B28953", "399.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "15,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 15000RPM - 2.5in - Seagate Enterprise Performance 15K HDD (512n)", "ST600MP0005", "359.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "15,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
